batch,trans_date_trans_time,cc_num,merchant,category,amt,fraud_score
21,2020-09-25 22:09:30,2286236465059468,fraud_Hills-Witting,shopping_net,192.01,0.988
21,2020-08-05 22:38:35,4727244663135968,fraud_Lemke-Gutmann,shopping_net,192.01,0.9834
22,2020-11-09 00:05:51,4169388510116,fraud_Bins-Rice,gas_transport,19.83,0.9305
23,2020-11-21 23:03:52,30235268718158,fraud_Medhurst PLC,shopping_net,192.01,0.7509
24,2020-09-27 22:18:28,372965408103277,fraud_DuBuque LLC,grocery_pos,192.01,0.9935
25,2020-10-16 23:47:57,4306586894261180,fraud_Reichert, Shanahan and Hayes,shopping_net,192.01,0.9895
25,2020-11-02 10:23:11,4244953610136705533,fraud_Kiehn Inc,grocery_pos,192.01,0.732
25,2020-12-30 04:10:23,4189814094741,fraud_Kling Inc,gas_transport,20.27,0.3794
27,2020-09-24 03:38:24,676369110710,fraud_Huel, Hammes and Witting,grocery_pos,192.01,0.8818
27,2020-12-21 23:01:12,3517814635263522,fraud_Schaefer, Fay and Hilll,entertainment,192.01,0.4478
29,2020-08-24 00:49:18,3501365119557234,fraud_Kovacek, Dibbert and Ondricka,grocery_pos,192.01,0.8309
29,2020-10-09 22:52:14,213199865312311,fraud_Jaskolski-Vandervort,misc_net,192.01,0.9888
29,2020-08-25 01:03:41,4658490815480264,fraud_Padberg-Welch,grocery_pos,192.01,0.8715
30,2020-11-19 01:10:32,4710792708725663,fraud_O'Keefe-Hudson,grocery_pos,192.01,0.9639
31,2020-08-05 02:21:46,348253506557335,fraud_Mraz-Herzog,gas_transport,7.99,0.9843
31,2020-07-28 23:00:12,4671727014157745,fraud_Miller-Hauck,grocery_pos,192.01,0.9795
33,2020-06-24 22:03:55,180098888332620,fraud_Durgan-Auer,misc_net,192.01,0.9921
33,2020-07-21 02:32:15,4797297220948468262,fraud_Rau and Sons,grocery_pos,192.01,0.9136
34,2020-10-25 22:51:03,4295296907373,fraud_Little, Gutmann and Lynch,shopping_net,192.01,0.9614
35,2020-07-21 22:59:02,4225990116481262579,fraud_Schamberger-O'Keefe,grocery_pos,192.01,0.991
37,2020-09-16 20:58:06,3530503964418806,fraud_Romaguera, Cruickshank and Greenholt,shopping_net,192.01,0.9442
39,2020-10-25 22:49:56,4740713119940984,fraud_Stanton, Jakubowski and Baumbach,shopping_net,192.01,0.9848
41,2020-10-06 22:55:20,3586955669388457,fraud_Ankunding LLC,shopping_net,192.01,0.9557
41,2020-07-19 02:46:17,2703186189652095,fraud_Lemke-Gutmann,shopping_net,192.01,0.9079
42,2020-08-23 01:20:29,577588686219,fraud_Kiehn Inc,grocery_pos,192.01,0.9956
42,2020-12-16 22:31:11,180040027502291,fraud_Rippin, Kub and Mann,misc_net,192.01,0.9799
42,2020-08-05 22:11:41,348253506557335,fraud_Kihn, Abernathy and Douglas,shopping_net,192.01,0.9882
42,2020-10-27 22:56:55,676281772837,fraud_Predovic Inc,shopping_net,192.01,0.9818
42,2020-11-04 22:58:54,2229378226512508,fraud_Lemke-Gutmann,shopping_net,192.01,0.9818
44,2020-12-13 15:55:06,4423489490781412,fraud_Medhurst PLC,shopping_net,192.01,0.9199
44,2020-11-26 22:28:31,4505383113689,fraud_Daugherty, Pouros and Beahan,shopping_pos,192.01,0.9874
44,2020-11-02 13:15:32,30029052116970,fraud_Cormier LLC,shopping_net,192.01,0.6718
45,2020-12-30 22:23:54,3557442674264531,fraud_Towne, Greenholt and Koepp,shopping_net,192.01,0.8243
46,2020-08-04 01:00:08,4725837176265195730,fraud_Reichel Inc,entertainment,192.01,0.9791
48,2020-12-17 00:52:18,2714019737356678,fraud_Schaefer, McGlynn and Bosco,gas_transport,15.41,0.9851
49,2020-11-26 02:22:20,3587044315915002,fraud_Eichmann, Bogan and Rodriguez,gas_transport,9.12,0.9858
50,2020-07-02 03:23:51,4956828990005111019,fraud_Klocko LLC,misc_net,192.01,0.6511
51,2020-09-17 23:47:20,3530503964418806,fraud_Langworth, Boehm and Gulgowski,shopping_net,192.01,0.9911
51,2020-12-06 23:53:03,3564182536169293,fraud_Boyer PLC,shopping_net,192.01,0.9881
52,2020-08-18 03:30:17,213112402583773,fraud_Keeling-Crist,misc_pos,192.01,0.9216
52,2020-06-24 02:56:50,180098888332620,fraud_Murray-Smitham,grocery_pos,192.01,0.9996
54,2020-11-25 00:14:15,30546453310167,fraud_Strosin-Cruickshank,grocery_pos,192.01,0.9966
55,2020-07-14 23:04:07,3579200383632826,fraud_Jast Ltd,shopping_net,192.01,0.9856
58,2020-07-10 15:57:47,675961917837,fraud_Torphy-Goyette,shopping_pos,192.01,0.9026
60,2020-11-18 03:59:03,4710792708725663,fraud_Huels-Nolan,gas_transport,12.62,0.9861
60,2020-07-06 03:51:56,30197398657930,fraud_Bins, Balistreri and Beatty,shopping_pos,192.01,0.911
62,2020-12-08 23:48:10,3591919803438423,fraud_Altenwerth, Cartwright and Koss,shopping_net,192.01,0.6973
62,2020-12-09 22:26:19,213180742685905,fraud_Kris-Padberg,shopping_pos,192.01,0.9811
62,2020-11-25 23:29:38,2450829271795901,fraud_Barrows PLC,shopping_pos,192.01,0.38
63,2020-10-04 22:36:23,30510856607165,fraud_Terry-Huel,shopping_net,192.01,0.9901
64,2020-11-04 23:00:23,4503101193493052864,fraud_Skiles LLC,home,192.01,0.3703
65,2020-08-01 23:46:01,3576281490078437,fraud_Gleason-Macejkovic,shopping_net,192.01,0.9895
65,2020-07-04 01:26:48,3589255887819806,fraud_Doyle Ltd,grocery_pos,192.01,0.882
66,2020-09-17 04:02:10,342952484382519,fraud_Goodwin-Nitzsche,grocery_pos,192.01,0.5125
66,2020-11-27 22:38:31,676275912597,fraud_Greenholt, O'Hara and Balistreri,shopping_net,192.01,0.9855
68,2020-12-06 23:41:16,4412720572684931,fraud_Willms, Kris and Bergnaum,shopping_pos,192.01,0.9921
68,2020-07-17 22:30:33,4996263498048679,fraud_Schimmel-Olson,kids_pets,18.68,0.3508
68,2020-09-27 03:34:22,6593939509150446,fraud_Dooley Inc,shopping_pos,192.01,0.9652
68,2020-10-08 22:12:06,344342339068828,fraud_Halvorson Group,misc_pos,9.3,0.9137
70,2020-10-14 01:53:53,3501942333500073,fraud_Kilback LLC,grocery_pos,192.01,0.9919
71,2020-07-20 23:00:39,4428780983793657331,fraud_Boyer PLC,shopping_net,192.01,0.989
71,2020-09-16 09:44:13,4229733778084049,fraud_Koepp-Witting,grocery_pos,192.01,0.7658
72,2020-09-06 08:27:32,4904681492230012,fraud_Cummerata-Jones,gas_transport,8.44,0.9652
73,2020-12-06 23:42:00,4412720572684931,fraud_Mante Group,misc_net,192.01,0.9918
74,2020-12-12 23:39:16,4607072969078276,fraud_Dare-Marvin,entertainment,192.01,0.6359
74,2020-09-12 23:03:32,213161293389774,fraud_Heathcote, Yost and Kertzmann,shopping_net,192.01,0.9706
76,2020-07-12 23:48:55,3514897282719543,fraud_Gottlieb, Considine and Schultz,shopping_net,192.01,0.9772
76,2020-12-09 23:38:35,3591919803438423,fraud_Labadie, Treutel and Bode,shopping_net,192.01,0.7803
77,2020-12-12 00:21:41,3596357274378601,fraud_Parisian and Sons,gas_transport,9.02,0.9854
80,2020-11-03 00:12:16,371985236239474,fraud_Wolf Inc,grocery_pos,192.01,0.9841
80,2020-09-18 23:41:28,30029052116970,fraud_Hudson-Grady,shopping_pos,192.01,0.7118
80,2020-09-30 23:41:38,180020605265701,fraud_Daugherty, Pouros and Beahan,shopping_pos,192.01,0.9933
82,2020-10-28 03:53:32,3577578023716568,fraud_Kilback LLC,food_dining,140.13,0.4506
82,2020-06-24 23:15:28,180098888332620,fraud_Baumbach, Hodkiewicz and Walsh,shopping_pos,192.01,0.9933
83,2020-08-10 05:12:45,36078114201167,fraud_Padberg-Welch,grocery_pos,192.01,0.446
84,2020-11-12 22:39:40,30242921189660,fraud_Brown-Greenholt,entertainment,192.01,0.358
84,2020-09-05 23:52:22,3550412175018089,fraud_Dooley Inc,shopping_pos,192.01,0.9948
85,2020-10-24 23:14:06,4599285557366057,fraud_Heathcote, Yost and Kertzmann,shopping_net,192.01,0.5375
85,2020-10-29 03:29:06,3577578023716568,fraud_Lemke-Gutmann,shopping_net,192.01,0.9193
85,2020-09-14 17:25:45,4586260469584,fraud_Heathcote, Yost and Kertzmann,shopping_net,192.01,0.6222
86,2020-07-06 01:01:59,30197398657930,fraud_Jast Ltd,shopping_net,192.01,0.9132
86,2020-08-15 22:19:00,30541100351706,fraud_Schumm PLC,shopping_net,192.01,0.9139
86,2020-12-12 23:51:56,4607072969078276,fraud_Gaylord-Powlowski,home,192.01,0.7709
88,2020-07-13 01:17:37,3514897282719543,fraud_Heller-Langosh,gas_transport,6.39,0.9862
88,2020-10-27 23:54:05,573283817795,fraud_Bogisich-Homenick,misc_net,192.01,0.9853
88,2020-11-13 02:48:17,30487648872433,fraud_Wolf Inc,grocery_pos,192.01,0.9671
89,2020-10-07 02:02:52,6597248210463122,fraud_Rau and Sons,grocery_pos,192.01,0.9844
89,2020-12-02 23:16:36,377834944388609,fraud_Kuhic LLC,shopping_net,192.01,0.9908
89,2020-11-07 23:19:33,630469040731,fraud_Volkman-Predovic,shopping_net,192.01,0.9817
91,2020-10-04 23:01:29,3585052663373890,fraud_Volkman-Predovic,shopping_net,192.01,0.9901
91,2020-07-21 00:31:55,4874017206859125,fraud_Koss, McLaughlin and Mayer,food_dining,118.54,0.4552
92,2020-07-20 23:45:28,4874017206859125,fraud_Stark-Koss,home,192.01,0.4635
93,2020-10-25 22:09:24,4599285557366057,fraud_Price Inc,shopping_net,192.01,0.3751
94,2020-09-24 00:10:32,676369110710,fraud_O'Keefe-Hudson,grocery_pos,192.01,0.8842
95,2020-11-26 23:11:00,5410056176712193,fraud_Hills-Witting,shopping_net,192.01,0.862
95,2020-10-16 22:27:38,3527063666782582,fraud_Dach-Nader,misc_net,192.01,0.9742
95,2020-09-04 03:43:16,3550412175018089,fraud_Heller, Gutmann and Zieme,grocery_pos,192.01,0.999
95,2020-12-08 22:07:08,213180742685905,fraud_Heathcote, Yost and Kertzmann,shopping_net,192.01,0.9803
97,2020-10-25 00:55:26,4883407061576,fraud_Kuhic Inc,grocery_pos,192.01,0.9981
98,2020-07-02 23:17:05,3540416671210051,fraud_Balistreri-Nader,misc_pos,9.03,0.9954
99,2020-10-06 22:05:29,3586955669388457,fraud_Bashirian Group,shopping_net,192.01,0.9557
99,2020-09-13 22:53:08,4110266553600176127,fraud_Swaniawski, Nitzsche and Welch,health_fitness,18.19,0.3925
99,2020-10-15 23:20:27,341542810616333,fraud_Herman, Treutel and Dickens,misc_net,192.01,0.9851
100,2020-07-12 15:46:54,3514897282719543,fraud_Weimann, Kuhic and Beahan,shopping_pos,192.01,0.443
101,2020-09-22 01:25:18,4170689372027579,fraud_Lind, Huel and McClure,gas_transport,9.04,0.9846
101,2020-08-03 00:42:24,4653879239169997,fraud_Rohan, White and Aufderhar,misc_net,192.01,0.9458
103,2020-12-07 01:27:10,30518196150127,fraud_Botsford Ltd,shopping_pos,192.01,0.9898
104,2020-09-23 03:42:24,676369110710,fraud_Bauch-Raynor,grocery_pos,192.01,0.8834
104,2020-09-15 23:35:56,3533742182628021,fraud_Jast Ltd,shopping_net,192.01,0.52
105,2020-09-13 23:09:52,213161293389774,fraud_Mosciski, Ziemann and Farrell,shopping_net,192.01,0.9785
105,2020-07-22 00:45:20,4195740185974,fraud_Erdman-Kertzmann,gas_transport,12.4,0.9868
106,2020-10-20 22:55:10,4760122961662,fraud_Bednar PLC,kids_pets,7.07,0.5763
107,2020-08-04 22:26:34,2358122155477959,fraud_Goyette Inc,shopping_net,192.01,0.9901
107,2020-10-05 23:20:54,581508178315,fraud_Schmeler, Bashirian and Price,shopping_net,192.01,0.9841
107,2020-11-20 22:18:46,3582402971899057,fraud_Medhurst PLC,shopping_net,192.01,0.9892
107,2020-10-25 06:57:18,4295296907373,fraud_Conroy-Cruickshank,gas_transport,12.4,0.9921
107,2020-08-09 23:36:23,4292902571056973207,fraud_Jast-McDermott,shopping_pos,192.01,0.4764
108,2020-12-08 10:17:18,3545109339866548,fraud_Goodwin-Nitzsche,grocery_pos,192.01,0.9741
109,2020-11-25 23:29:42,4505383113689,fraud_Friesen Inc,shopping_pos,192.01,0.9886
109,2020-09-13 23:45:05,213161293389774,fraud_Kuhn LLC,misc_net,192.01,0.974
109,2020-08-20 23:43:32,375974680629816,fraud_Durgan, Gislason and Spencer,home,192.01,0.4299
109,2020-11-10 22:32:41,4873783502705038,fraud_White and Sons,home,192.01,0.3559
109,2020-10-03 23:40:23,4710826438164847414,fraud_Kerluke, Kertzmann and Wiza,misc_net,192.01,0.9903
112,2020-10-31 23:06:47,4087542780207162,fraud_Kerluke, Kertzmann and Wiza,misc_net,192.01,0.99
113,2020-10-01 22:26:27,180020605265701,fraud_Boehm, Predovic and Reinger,misc_pos,9.34,0.9897
114,2020-11-27 01:48:37,676275912597,fraud_Kunze Inc,grocery_pos,192.01,0.9971
117,2020-11-07 03:06:20,630469040731,fraud_Conroy-Cruickshank,gas_transport,21.96,0.7741
117,2020-11-27 00:28:00,3513506355699497,fraud_Padberg-Welch,grocery_pos,192.01,0.9588
117,2020-07-08 23:11:56,503851367360,fraud_Wiza LLC,misc_pos,7.97,0.992
119,2020-11-26 22:23:45,180046165512893,fraud_Altenwerth, Cartwright and Koss,shopping_net,192.01,0.9845
119,2020-09-13 22:40:46,4586260469584,fraud_Haley Group,misc_pos,48.95,0.5755
119,2020-08-22 22:24:38,30560609640617,fraud_Ruecker Group,misc_net,192.01,0.9903
119,2020-10-18 17:15:14,4958589671582726883,fraud_Okuneva, Schneider and Rau,shopping_pos,192.01,0.4499
119,2020-11-10 03:28:32,4103158249977,fraud_Friesen-D'Amore,gas_transport,7.95,0.9747
120,2020-08-12 02:44:03,374497717543058,fraud_Miller-Hauck,grocery_pos,192.01,0.9088
120,2020-07-09 01:53:48,503851367360,fraud_Bauch-Raynor,grocery_pos,192.01,0.9998
123,2020-07-15 22:14:51,3579200383632826,fraud_Heathcote LLC,shopping_net,192.01,0.9859
124,2020-10-10 14:33:35,213199865312311,fraud_Bogisich-Homenick,misc_net,192.01,0.7705
125,2020-12-29 22:17:13,38588538868506,fraud_Witting, Beer and Ernser,home,192.01,0.4946
125,2020-12-04 16:59:24,3583793405872580,fraud_Smith-Stokes,misc_pos,13.79,0.5432
126,2020-12-26 23:33:16,343472729187663,fraud_Jewess LLC,shopping_pos,192.01,0.8896
127,2020-11-27 23:25:55,370612217861404,fraud_Berge-Ullrich,home,192.01,0.4847
129,2020-11-05 04:33:01,2229378226512508,fraud_Harber Inc,gas_transport,10.58,0.954
129,2020-11-08 01:03:01,630469040731,fraud_Kutch and Sons,grocery_pos,192.01,0.9323
130,2020-12-22 13:20:52,30029052116970,fraud_Boyer PLC,misc_pos,9.32,0.5435
131,2020-06-26 22:20:54,4681699462969,fraud_Streich, Dietrich and Barton,shopping_net,192.01,0.4933
131,2020-10-06 23:03:17,3586955669388457,fraud_Langworth, Boehm and Gulgowski,shopping_net,192.01,0.9648
133,2020-12-02 22:38:33,30266994494236,fraud_Bahringer, Bergnaum and Quitzon,home,192.01,0.7492
133,2020-12-12 03:18:51,3596217206093829,fraud_Bruen-Yost,misc_pos,192.01,0.9224
133,2020-08-17 02:21:46,213112402583773,fraud_Cole PLC,grocery_pos,192.01,0.9228
135,2020-07-12 23:51:36,3598014571045296,fraud_Schimmel-Olson,kids_pets,19.09,0.4315
136,2020-07-12 12:28:46,501882822387,fraud_Gottlieb, Considine and Schultz,shopping_net,192.01,0.4484
137,2020-06-28 22:21:29,3573386445588324,fraud_Gerlach Inc,shopping_net,192.01,0.9829
139,2020-11-01 01:57:12,4026222041577,fraud_Pagac LLC,shopping_pos,192.01,0.9625
141,2020-06-30 23:48:35,571844099986,fraud_Huel, Hammes and Witting,grocery_pos,192.01,0.9785
141,2020-09-29 03:50:01,6011477612335392,fraud_Bailey-Morar,grocery_pos,192.01,0.9875
141,2020-08-30 22:16:06,6596735789587928,fraud_Boyer-Reichert,shopping_net,192.01,0.987
143,2020-07-12 22:26:48,676245600876,fraud_Kutch-Ferry,home,192.01,0.3644
143,2020-11-06 00:40:37,30491348102802,fraud_Kunze Inc,grocery_pos,192.01,0.9774
145,2020-10-16 23:29:16,4633065159406313,fraud_Moore, Williamson and Emmerich,home,192.01,0.9713
145,2020-09-07 22:30:02,3583793405872580,fraud_Hudson-Grady,shopping_pos,192.01,0.7036
145,2020-07-06 03:47:08,4462038234743679432,fraud_Collier Inc,grocery_net,10.84,0.8534
146,2020-12-01 20:36:16,377834944388609,fraud_Streich, Dietrich and Barton,shopping_net,192.01,0.9354
146,2020-10-24 21:34:58,30029052116970,fraud_Boyer PLC,misc_pos,14.2,0.5435
147,2020-08-28 23:52:29,6011975266774121,fraud_Nitzsche, Kessler and Wolff,shopping_pos,192.01,0.992
147,2020-09-27 03:14:02,6593939509150446,fraud_Mohr-Bayer,shopping_net,192.01,0.955
149,2020-07-20 22:57:29,375534208663984,fraud_DuBuque LLC,grocery_pos,192.01,0.9831
149,2020-07-30 22:07:21,4352307151555405069,fraud_Boyer-Reichert,shopping_net,192.01,0.9899
151,2020-12-07 22:40:40,4412720572684931,fraud_Rowe, Batz and Goodwin,grocery_pos,192.01,0.9838
151,2020-12-22 22:31:48,2242176657877538,fraud_Mosciski, Ziemann and Farrell,shopping_net,192.01,0.9915
151,2020-07-14 01:53:36,3579200383632826,fraud_Christiansen, Goyette and Schamberger,gas_transport,10.04,0.9893
153,2020-10-15 00:20:49,3501942333500073,fraud_Johnson, Runolfsdottir and Mayer,misc_net,192.01,0.9923
153,2020-09-30 20:41:56,180020605265701,fraud_Price Inc,shopping_net,192.01,0.9694
153,2020-06-30 03:06:29,3528231451607350,fraud_DuBuque LLC,grocery_pos,192.01,0.9294
153,2020-08-13 22:55:25,374497717543058,fraud_Mosciski, Gislason and Mertz,grocery_pos,192.01,0.9787
155,2020-12-05 22:15:48,4560004149983868183,fraud_Botsford and Sons,home,192.01,0.439
155,2020-07-08 02:05:41,503851367360,fraud_Doyle Ltd,grocery_pos,192.01,0.9998
155,2020-09-25 22:55:17,4427805710168,fraud_Mosciski, Ziemann and Farrell,shopping_net,192.01,0.4271
155,2020-08-27 22:03:12,583699482621,fraud_Labadie, Treutel and Bode,shopping_net,192.01,0.9813
157,2020-12-06 22:22:56,36485887555770,fraud_Fisher-Schowalter,shopping_net,192.01,0.3712
157,2020-11-25 21:21:33,180046165512893,fraud_Romaguera, Cruickshank and Greenholt,shopping_net,192.01,0.8526
159,2020-12-28 22:38:57,4292902571056973207,fraud_Reichert, Huels and Hoppe,shopping_net,192.01,0.9546
159,2020-09-25 02:18:20,4427805710168,fraud_Rutherford-Mertz,grocery_pos,192.01,0.9446
161,2020-08-30 03:09:32,6596735789587928,fraud_Cole PLC,grocery_pos,192.01,0.9959
163,2020-11-12 23:42:59,3535808924394848,fraud_Boyer PLC,shopping_net,192.01,0.9846
163,2020-12-13 23:07:20,30029052116970,fraud_Terry, Johns and Bins,misc_pos,45.31,0.3596
163,2020-11-01 10:01:58,38580485618059,fraud_Strosin-Cruickshank,grocery_pos,192.01,0.4724
163,2020-10-23 02:33:46,4481131401752,fraud_McDermott-Weimann,grocery_pos,192.01,0.9642
165,2020-07-26 23:21:08,38014427445058,fraud_Rodriguez, Yost and Jenkins,misc_net,192.01,0.9899
165,2020-06-26 22:55:04,213161231269724,fraud_Volkman Ltd,misc_net,192.01,0.9783
165,2020-07-21 23:27:40,4797297220948468262,fraud_Lynch-Wisozk,home,192.01,0.5009
166,2020-12-09 00:05:33,6011231546538393,fraud_Bogisich-Homenick,misc_net,192.01,0.3826
167,2020-12-18 22:08:08,374125201044065,fraud_Kihn, Abernathy and Douglas,shopping_net,192.01,0.9738
167,2020-09-04 23:03:57,3550412175018089,fraud_Kris-Padberg,shopping_pos,192.01,0.9947
167,2020-10-06 22:48:33,3586955669388457,fraud_Gerlach Inc,shopping_net,192.01,0.9593
169,2020-09-05 22:29:56,341283058448499,fraud_McDermott-Weimann,grocery_pos,192.01,0.9855
171,2020-12-01 04:45:45,377834944388609,fraud_Kutch LLC,gas_transport,8.47,0.9707
173,2020-10-08 01:44:16,6597248210463122,fraud_Kiehn-Emmerich,grocery_pos,192.01,0.9841
173,2020-07-26 00:22:28,2222157926772399,fraud_Strosin-Cruickshank,grocery_pos,192.01,0.9643
174,2020-07-11 02:22:39,38544312728630,fraud_Fisher Inc,shopping_net,192.01,0.9606
175,2020-08-24 03:51:03,3501365119557234,fraud_Luettgen PLC,gas_transport,17.8,0.9779
175,2020-11-28 19:28:36,3513506355699497,fraud_Halvorson Group,misc_pos,9.43,0.5435
175,2020-06-30 22:02:57,3528231451607350,fraud_McGlynn-Heathcote,misc_net,192.01,0.9873
176,2020-07-20 00:57:49,4428780983793657331,fraud_Tillman, Dickinson and Labadie,gas_transport,7.28,0.9857
178,2020-10-06 22:21:04,3586955669388457,fraud_Jaskolski-Vandervort,misc_net,192.01,0.9196
180,2020-11-14 01:44:32,30487648872433,fraud_McDermott-Weimann,grocery_pos,192.01,0.9672
181,2020-07-19 01:07:40,3534330126107879,fraud_Wolf Inc,grocery_pos,192.01,0.9912
183,2020-12-01 00:09:07,377834944388609,fraud_Kiehn Inc,grocery_pos,192.01,0.9959
185,2020-09-24 03:01:59,676369110710,fraud_O'Keefe-Hudson,grocery_pos,192.01,0.8834
185,2020-11-28 22:56:17,30044330818990,fraud_McDermott, Osinski and Morar,home,192.01,0.4164
185,2020-07-21 01:43:05,2268221587779419,fraud_Friesen Inc,shopping_pos,192.01,0.9715
185,2020-11-25 03:26:11,4505383113689,fraud_Kunze Inc,grocery_pos,192.01,0.959
187,2020-08-10 00:11:25,30238755902988,fraud_Reichert, Shanahan and Hayes,shopping_net,192.01,0.9708
187,2020-09-14 20:47:51,4586260469584,fraud_Fisher Inc,shopping_net,192.01,0.6222
187,2020-11-04 02:36:00,370612217861404,fraud_Jacobi and Sons,shopping_pos,192.01,0.9208
187,2020-10-16 02:03:04,30042378430132,fraud_McDermott-Weimann,grocery_pos,192.01,0.9833
189,2020-10-04 22:25:37,3585052663373890,fraud_Padberg-Welch,grocery_pos,192.01,0.9836
191,2020-10-04 22:57:03,3585052663373890,fraud_Reynolds-Schinner,misc_pos,49.66,0.8449
192,2020-11-10 00:59:09,4103158249977,fraud_Ledner-Pfannerstill,gas_transport,6.12,0.9815
192,2020-10-16 03:55:49,4306586894261180,fraud_Doyle Ltd,grocery_pos,192.01,0.9582
193,2020-08-06 01:59:53,30199621383748,fraud_Graham, Hegmann and Hammes,food_dining,122.03,0.4503
194,2020-08-24 03:07:19,4658490815480264,fraud_Lockman, West and Runte,grocery_pos,192.01,0.903
194,2020-08-02 00:36:13,3577794103155425,fraud_Beier-Hyatt,shopping_pos,192.01,0.9831
195,2020-09-02 22:14:21,180052752563109,fraud_Lind-Buckridge,entertainment,192.01,0.8077
196,2020-09-05 01:06:29,4904681492230012,fraud_Altenwerth, Cartwright and Koss,shopping_net,192.01,0.9651
198,2020-11-10 22:37:46,4103158249977,fraud_Medhurst PLC,shopping_net,192.01,0.9847
198,2020-11-06 22:29:06,30491348102802,fraud_Jewess LLC,shopping_pos,192.01,0.9859
198,2020-07-13 22:40:13,4158758517677931,fraud_Hills, Hegmann and Schaefer,health_fitness,21.65,0.4606
200,2020-12-12 23:49:27,340953839692349,fraud_Kris-Padberg,shopping_pos,192.01,0.3594
200,2020-07-25 23:29:36,38014427445058,fraud_Mante Group,misc_net,192.01,0.9895
200,2020-10-31 01:17:52,376012912828093,fraud_Kiehn Inc,grocery_pos,192.01,0.9965
201,2020-12-12 02:49:58,3518234918950662,fraud_Osinski, Ledner and Leuschke,grocery_pos,192.01,0.5167
202,2020-11-26 22:41:38,30546453310167,fraud_Macejkovic-Lesch,shopping_pos,192.01,0.9886
202,2020-12-22 22:05:48,2242176657877538,fraud_Willms, Kris and Bergnaum,shopping_pos,192.01,0.9935
204,2020-06-28 23:48:51,3581130339108561,fraud_Heathcote, Yost and Kertzmann,shopping_net,192.01,0.9885
205,2020-11-26 23:24:11,3587044315915002,fraud_Bashirian Group,shopping_net,192.01,0.973
205,2020-10-03 02:19:16,4710826438164847414,fraud_Goodwin-Nitzsche,grocery_pos,192.01,0.9445
205,2020-07-19 02:35:09,4428780983793657331,fraud_Mraz-Herzog,gas_transport,11.61,0.9845
206,2020-09-23 22:16:16,586100864972,fraud_Nitzsche, Kessler and Wolff,shopping_pos,192.01,0.9934
210,2020-10-03 15:37:23,4710826438164847414,fraud_Langworth, Boehm and Gulgowski,shopping_net,192.01,0.9261
210,2020-07-19 00:19:39,3547560454237873,fraud_Murray-Smitham,grocery_pos,192.01,0.9369
210,2020-11-03 22:13:59,4244953610136705533,fraud_Greenholt, O'Hara and Balistreri,shopping_net,192.01,0.9732
211,2020-07-09 00:02:54,503851367360,fraud_Cummerata-Jones,gas_transport,10.77,0.9921
211,2020-10-12 22:39:09,5456712664803820,fraud_Schuppe, Nolan and Hoeger,shopping_pos,192.01,0.9903
211,2020-07-28 22:42:53,30290551782700,fraud_Lemke-Gutmann,shopping_net,192.01,0.982
